epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,13373,0.3196,0.21327,0.80569,0.99002,0.99203,0.99307,0.95903,0.28518,0.15355,0.79113,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13650.2,0.31837,0.21329,0.80607,0.99198,0.9903,0.99311,0.95878,0.28485,0.15255,0.79111,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13925.3,0.31718,0.21074,0.80597,0.98882,0.99342,0.9931,0.95952,0.28433,0.15304,0.79105,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14201.1,0.31807,0.21222,0.8072,0.98789,0.99551,0.99325,0.95946,0.28435,0.15177,0.79103,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14476.7,0.31436,0.20741,0.80458,0.98983,0.99331,0.99331,0.95962,0.28418,0.15133,0.79095,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14752,0.31484,0.20922,0.80489,0.98848,0.99503,0.99335,0.95976,0.28337,0.15073,0.79057,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15027.7,0.31269,0.20426,0.8049,0.99004,0.9924,0.99325,0.95992,0.28298,0.15138,0.7904,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15304.1,0.31283,0.20533,0.80619,0.98945,0.99326,0.99324,0.9599,0.28289,0.15104,0.79037,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15579.5,0.31313,0.20616,0.80347,0.99103,0.99181,0.99315,0.95994,0.28304,0.15076,0.7904,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15859.2,0.31027,0.20227,0.80388,0.99063,0.99199,0.99321,0.95957,0.28284,0.15045,0.79037,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16134.3,0.31109,0.202,0.80501,0.98968,0.99321,0.9933,0.95986,0.28287,0.14998,0.79034,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16414.9,0.31022,0.20187,0.80386,0.98949,0.99415,0.99331,0.96002,0.28263,0.14957,0.79021,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
